gen_1_0;gen_2_1;gen_5_2;gen_5_3;balance;gen_0_5
68.5;66.6;15.8;0.0;0.0;67.1
69.1;69.0;16.0;0.0;0.0;65.7
69.0;66.7;15.9;0.0;0.0;67.5
70.0;66.5;16.0;0.0;0.0;68.5
69.9;67.7;16.1;0.0;0.0;67.9
69.7;67.7;16.5;0.0;0.0;68.2
68.9;68.5;16.4;0.0;0.0;67.3
69.6;68.4;16.2;0.0;0.0;67.7
69.7;68.7;16.5;0.0;0.0;69.9
71.2;68.7;16.2;0.0;0.0;69.3
70.1;68.8;16.5;0.0;0.0;68.4
68.6;69.7;16.4;0.0;0.0;69.5
70.5;68.5;16.9;0.0;0.0;68.4
70.6;68.7;16.4;0.0;0.0;69.5
71.3;69.9;16.7;0.0;0.0;69.2
70.8;69.0;16.5;0.0;0.0;70.1
71.0;70.4;16.5;0.0;0.0;69.1
71.2;68.9;16.9;0.0;0.0;70.9
72.0;70.0;16.4;0.0;0.0;69.9
71.8;69.5;17.0;0.0;0.0;70.4
73.0;69.2;17.0;0.0;0.0;71.7
72.0;71.3;17.0;0.0;0.0;70.8
73.6;69.6;16.7;0.0;0.0;69.0
73.2;70.3;16.5;0.0;0.0;70.6
73.6;70.8;16.9;0.1;0.0;70.6
75.0;71.9;16.8;0.2;0.1;71.7
72.6;71.2;16.9;0.3;0.2;73.1
74.7;71.7;16.5;0.4;0.2;71.7
73.2;71.8;16.5;0.5;0.3;72.0
75.3;72.3;16.8;0.7;0.5;70.9
74.1;73.3;16.5;1.0;0.6;71.1
74.1;72.2;16.4;1.4;0.8;72.4
74.0;73.1;16.4;1.8;1.0;72.2
75.2;72.3;15.9;2.3;1.3;73.4
75.8;72.3;16.1;2.7;1.6;72.6
75.6;72.5;15.7;3.3;1.9;73.8
74.5;73.4;16.0;3.8;2.2;73.9
74.7;72.9;15.2;4.2;2.4;72.2
73.4;73.7;15.5;4.6;2.6;74.4
74.7;74.3;15.1;5.1;2.8;73.9
75.6;73.0;15.0;5.5;3.0;73.4
75.0;74.3;14.8;6.0;3.3;73.3
74.8;73.8;14.8;6.5;3.7;73.8
73.9;73.1;14.5;7.3;4.2;73.7
74.7;73.5;14.4;7.9;4.9;73.6
74.6;73.8;14.1;8.5;5.7;72.6
74.1;73.0;14.0;9.5;6.5;73.1
73.8;71.7;13.7;10.1;7.2;72.3
74.7;72.6;13.7;10.9;7.5;72.4
76.1;72.8;13.5;12.0;7.6;72.1
75.3;72.4;13.2;12.4;7.8;73.2
73.5;72.8;13.1;13.5;7.9;73.8
75.2;71.4;13.0;14.1;8.6;71.8
74.0;70.5;12.8;15.2;9.2;72.4
74.5;71.1;12.5;16.0;10.1;71.8
71.9;71.0;12.5;17.0;10.6;71.5
73.9;72.8;12.6;17.7;10.8;71.5
71.7;71.3;12.6;18.0;10.7;70.5
74.7;71.9;12.2;18.1;10.4;71.3
74.8;72.0;12.2;17.4;9.8;71.7
73.7;73.5;12.1;16.2;9.1;73.7
75.5;72.4;12.2;15.1;8.9;74.7
76.0;74.2;12.2;14.0;8.8;74.4
76.8;75.1;12.1;13.7;8.9;75.0
76.8;74.6;12.2;14.5;9.3;74.5
73.7;73.4;12.3;16.1;9.9;71.9
73.0;71.5;12.0;17.7;10.5;71.8
74.0;71.4;12.1;19.3;10.9;70.3
73.0;72.6;12.2;20.0;10.8;71.5
73.4;72.0;12.1;19.6;11.1;72.4
73.6;71.3;12.4;19.8;11.0;70.7
72.2;70.9;12.4;20.1;11.6;69.4
71.5;70.5;12.3;21.4;12.5;70.2
70.6;68.9;12.3;22.6;13.4;68.7
70.4;68.8;12.3;24.0;14.1;68.7
69.6;67.8;12.5;24.1;14.6;68.0
70.1;70.3;12.4;22.3;14.2;69.4
71.7;70.0;12.7;20.0;13.3;70.5
73.4;68.8;12.3;17.5;12.0;69.7
73.4;71.7;12.7;16.1;11.1;71.9
74.2;71.9;12.6;15.9;11.0;71.0
72.9;71.6;12.8;17.6;11.4;72.3
71.9;70.9;12.5;19.4;11.6;70.5
72.9;69.6;12.7;20.3;11.7;70.9
71.1;71.8;12.5;20.1;11.1;70.3
72.5;71.1;12.5;18.5;10.0;71.4
74.7;73.4;12.6;17.1;8.7;73.4
74.9;73.3;12.5;15.6;7.8;73.4
76.5;74.2;12.7;13.7;7.2;75.2
75.8;75.1;12.8;13.0;7.2;74.0
75.9;74.5;12.5;13.1;7.9;75.1
74.4;73.2;12.4;14.1;8.8;73.7
73.1;74.1;12.3;16.8;10.2;73.9
71.9;71.4;12.0;19.5;11.3;71.8
71.3;70.4;12.4;22.3;12.4;70.4
70.9;69.0;11.9;24.4;13.0;70.5
71.0;70.2;12.0;24.5;12.5;69.1
70.7;69.8;12.2;23.7;11.3;70.4
72.1;70.4;11.8;22.2;10.2;70.4
73.4;71.2;11.8;21.1;9.5;70.6
71.8;71.5;11.8;19.5;9.4;70.7
71.5;70.9;11.8;18.4;9.8;70.9
72.3;70.3;11.4;17.1;10.3;70.8
71.8;70.5;11.6;17.0;10.7;70.5
71.7;69.5;11.7;16.3;10.3;70.7
71.2;69.1;11.5;15.6;9.9;70.4
70.9;70.1;11.5;15.3;9.3;70.4
71.3;69.9;11.3;14.7;8.6;69.5
72.4;70.9;11.3;14.2;8.5;72.0
71.2;70.7;11.2;13.9;8.6;70.5
71.7;69.5;11.4;13.4;8.6;71.1
71.7;70.5;11.1;12.9;8.7;70.6
72.5;70.0;11.1;12.2;8.2;68.3
72.9;71.7;11.2;11.5;7.5;71.0
71.6;70.1;10.9;10.8;6.7;70.6
73.0;71.0;11.0;9.9;5.9;70.9
72.4;71.9;10.9;8.5;4.9;72.2
71.9;71.5;11.1;7.2;4.3;71.9
73.6;71.4;11.0;6.6;3.7;72.1
72.7;70.4;10.9;6.6;3.6;69.7
71.9;70.2;10.6;7.2;3.7;71.4
71.8;69.8;10.7;8.1;4.0;70.9
70.8;69.2;10.8;8.3;4.0;70.4
71.6;69.3;10.8;8.0;3.9;69.7
71.5;70.5;10.5;6.8;3.3;70.3
72.6;70.7;10.7;5.4;2.8;70.2
72.9;70.7;10.6;4.0;2.2;71.5
72.2;70.7;10.5;2.9;1.7;71.6
74.9;71.8;10.5;2.2;1.3;71.7
73.7;72.8;10.4;1.7;1.0;72.6
72.7;71.7;10.3;1.4;0.8;72.4
73.7;73.9;10.2;1.1;0.6;72.0
75.3;72.0;10.2;0.8;0.4;72.2
72.5;72.0;10.2;0.5;0.3;72.2
73.7;73.1;10.2;0.3;0.2;72.4
73.8;71.7;9.8;0.2;0.1;71.4
73.0;72.4;10.0;0.1;0.0;72.3
73.7;71.9;10.0;0.0;0.0;72.1
72.3;71.5;10.0;0.0;0.0;71.5
74.2;71.6;9.9;0.0;0.0;72.7
74.5;71.8;9.8;0.0;0.0;71.9
73.2;72.5;9.5;0.0;0.0;71.5
73.0;72.9;9.6;0.0;0.0;72.8
74.3;72.9;9.3;0.0;0.0;71.5
74.2;71.8;9.3;0.0;0.0;72.8
73.5;73.0;9.2;0.0;0.0;71.4
74.5;71.9;9.3;0.0;0.0;72.9
73.9;71.6;9.3;0.0;0.0;72.9
74.6;72.9;9.1;0.0;0.0;72.5
74.1;72.9;9.1;0.0;0.0;72.0
76.4;72.5;9.1;0.0;0.0;72.0
75.9;74.1;9.0;0.0;0.0;74.8
75.3;74.3;8.8;0.0;0.0;74.3
75.8;73.8;8.9;0.0;0.0;75.7
76.7;75.8;8.8;0.0;0.0;75.5
76.0;76.1;8.6;0.0;0.0;75.5
78.1;74.9;8.8;0.0;0.0;77.0
78.4;76.7;8.8;0.0;0.0;76.5
79.6;77.4;8.8;0.0;0.0;77.2
79.3;77.9;8.7;0.0;0.0;78.6
78.4;79.0;8.8;0.0;0.0;77.9
80.1;79.5;8.8;0.0;0.0;79.8
81.4;78.5;8.7;0.0;0.0;78.3
81.9;79.8;8.8;0.0;0.0;80.4
82.4;81.2;8.8;0.0;0.0;79.5
82.8;80.2;8.8;0.0;0.0;80.2
83.1;80.9;8.8;0.0;0.0;81.4
83.6;82.7;8.9;0.0;0.0;80.5
83.1;83.1;9.1;0.0;0.0;83.1
85.1;81.8;9.1;0.0;0.0;81.9
83.1;82.0;9.1;0.0;0.0;81.2
81.7;82.0;9.2;0.0;0.0;81.8
84.3;83.0;9.2;0.0;0.0;82.9
84.6;81.7;9.2;0.0;0.0;82.9
85.5;82.5;9.3;0.0;0.0;81.0
83.3;81.6;9.2;0.0;0.0;82.2
83.4;82.9;9.4;0.0;0.0;83.5
82.3;81.3;9.4;0.0;0.0;79.7
82.2;81.8;9.3;0.0;0.0;81.5
83.9;80.5;9.6;0.0;0.0;82.1
83.9;81.9;9.7;0.0;0.0;81.4
84.1;82.1;9.6;0.0;0.0;80.6
83.0;80.5;9.8;0.0;0.0;79.1
80.2;78.6;9.9;0.0;0.0;80.6
82.0;79.0;9.8;0.0;0.0;79.8
80.5;80.1;9.8;0.0;0.0;78.6
81.7;79.8;9.9;0.0;0.0;79.4
80.7;78.3;9.9;0.0;0.0;78.5
79.0;79.0;9.9;0.0;0.0;78.8
79.5;79.2;10.0;0.0;0.0;77.2
80.3;78.8;10.0;0.0;0.0;78.5
78.8;75.9;10.2;0.0;0.0;76.7
77.6;77.1;10.1;0.0;0.0;77.3
78.5;76.3;10.0;0.0;0.0;76.2
78.3;76.3;10.1;0.0;0.0;77.1
76.7;76.2;10.0;0.0;0.0;76.0
78.6;75.6;10.1;0.0;0.0;76.2
77.7;76.5;10.2;0.0;0.0;76.5
76.1;74.8;10.0;0.0;0.0;75.8
77.1;74.2;10.0;0.0;0.0;74.2
77.4;74.9;9.9;0.0;0.0;75.6
78.4;74.8;10.1;0.0;0.0;74.4
77.0;74.4;9.9;0.0;0.0;75.4
76.4;75.2;9.8;0.0;0.0;75.5
74.7;74.6;10.0;0.0;0.0;73.2
76.3;74.0;10.0;0.0;0.0;75.5
76.2;74.1;9.9;0.0;0.0;75.6
77.0;76.1;9.9;0.0;0.0;73.5
76.3;74.6;9.7;0.0;0.0;74.4
76.6;75.3;9.4;0.0;0.0;74.0
76.8;75.2;9.5;0.0;0.0;76.0
78.2;75.6;9.4;0.0;0.0;76.3
79.7;76.6;9.5;0.0;0.0;75.9
80.8;77.0;9.3;0.0;0.0;77.8
78.2;78.1;9.2;0.0;0.0;76.6
79.9;78.8;9.1;0.0;0.0;77.6
81.2;78.6;9.0;0.0;0.0;80.3
80.8;79.9;8.9;0.0;0.0;79.7
78.8;80.5;8.9;0.0;0.0;79.5
81.5;79.5;8.7;0.0;0.0;78.0
80.4;80.6;8.7;0.0;0.0;78.8
80.7;79.9;8.9;0.0;0.0;78.3
79.1;78.3;8.4;0.0;0.0;79.6
81.5;78.8;8.5;0.0;0.0;78.0
80.5;78.5;8.4;0.0;0.0;79.5
80.9;80.2;8.4;0.0;0.0;79.4
81.1;79.4;8.4;0.0;0.0;78.6
