gen_1_0;gen_2_1;gen_5_2;gen_5_3;balance;gen_0_5
75.8;74.2;12.1;13.6;8.9;74.2
75.4;73.8;12.2;14.5;9.3;73.8
74.6;73.0;12.2;16.1;9.9;73.0
73.8;72.2;12.2;17.9;10.4;72.2
73.1;71.6;12.2;19.2;10.8;71.6
72.8;71.3;12.2;19.7;11.0;71.3
72.7;71.2;12.2;19.7;11.0;71.2
72.6;71.1;12.3;19.7;11.1;71.1
72.2;70.7;12.3;20.1;11.6;70.7
71.4;69.9;12.3;21.4;12.4;69.9
70.5;69.0;12.4;22.9;13.5;69.0
69.8;68.3;12.4;24.0;14.3;68.3
69.7;68.2;12.5;24.0;14.6;68.2
70.3;68.8;12.5;22.6;14.1;68.8
71.5;70.0;12.6;20.1;13.1;70.0
72.8;71.2;12.6;17.6;11.9;71.2
73.6;72.0;12.6;16.0;11.1;72.0
73.6;72.1;12.6;16.2;10.9;72.1
73.1;71.5;12.6;17.7;11.2;71.5
72.4;70.9;12.6;19.3;11.5;70.9
72.1;70.5;12.7;20.4;11.5;70.5
72.4;70.8;12.7;20.2;11.0;70.8
73.1;71.6;12.6;19.0;9.9;71.6
74.1;72.5;12.6;17.3;8.8;72.5
75.1;73.5;12.6;15.4;7.8;73.5
75.8;74.2;12.6;13.8;7.2;74.2
76.2;74.6;12.5;13.0;7.2;74.6
76.1;74.5;12.4;13.1;7.8;74.5
75.5;73.9;12.4;14.4;8.8;73.9
74.3;72.7;12.3;16.9;10.2;72.7
73.0;71.5;12.2;19.9;11.6;71.5
71.9;70.4;12.2;22.4;12.6;70.4
71.3;69.8;12.1;24.0;12.9;69.8
71.3;69.8;12.0;24.3;12.4;69.8
71.7;70.2;12.0;23.6;11.4;70.2
72.2;70.6;11.9;22.4;10.3;70.6
72.5;71.0;11.8;20.9;9.5;71.0
72.5;71.0;11.7;19.5;9.5;71.0
72.3;70.7;11.7;18.4;9.9;70.7
71.9;70.4;11.6;17.4;10.4;70.4
71.7;70.2;11.5;16.7;10.7;70.2
71.6;70.1;11.5;16.1;10.4;70.1
71.6;70.1;11.4;15.6;9.8;70.1
71.7;70.2;11.4;15.1;9.2;70.2
71.7;70.2;11.3;14.7;8.7;70.2
71.7;70.2;11.2;14.2;8.6;70.2
71.6;70.1;11.2;13.8;8.7;70.1
71.6;70.1;11.2;13.3;8.7;70.1
71.7;70.1;11.1;12.8;8.6;70.1
71.8;70.3;11.1;12.3;8.2;70.3
72.0;70.5;11.1;11.7;7.5;70.5
72.3;70.8;11.0;10.9;6.7;70.8
72.7;71.1;11.0;9.8;5.8;71.1
73.0;71.5;10.9;8.4;4.9;71.5
73.3;71.7;10.9;7.3;4.2;71.7
73.3;71.7;10.9;6.5;3.8;71.7
72.9;71.4;10.8;6.6;3.6;71.4
72.3;70.8;10.8;7.3;3.7;70.8
71.7;70.2;10.8;8.1;3.9;70.2
71.4;69.9;10.8;8.4;4.0;69.9
71.5;69.9;10.7;8.0;3.8;69.9
71.9;70.4;10.7;6.9;3.4;70.4
72.5;70.9;10.6;5.4;2.8;70.9
73.0;71.4;10.6;4.0;2.2;71.4
73.3;71.8;10.6;2.9;1.7;71.8
73.5;72.0;10.5;2.2;1.3;72.0
73.6;72.0;10.5;1.8;1.0;72.0
73.6;72.0;10.4;1.4;0.8;72.0
73.5;72.0;10.3;1.1;0.6;72.0
73.5;72.0;10.3;0.8;0.4;72.0
73.5;72.0;10.2;0.5;0.3;72.0
73.5;72.0;10.2;0.3;0.2;72.0
73.6;72.0;10.1;0.2;0.1;72.0
73.5;72.0;10.0;0.1;0.0;72.0
73.5;72.0;9.9;0.0;0.0;72.0
73.5;72.0;9.9;0.0;0.0;72.0
73.5;71.9;9.8;0.0;0.0;71.9
73.5;71.9;9.7;0.0;0.0;71.9
73.5;71.9;9.7;0.0;0.0;71.9
73.5;71.9;9.5;0.0;0.0;71.9
73.5;72.0;9.4;0.0;0.0;72.0
73.6;72.0;9.4;0.0;0.0;72.0
73.7;72.1;9.4;0.0;0.0;72.1
73.8;72.2;9.3;0.0;0.0;72.2
74.0;72.4;9.2;0.0;0.0;72.4
74.2;72.6;9.1;0.0;0.0;72.6
74.4;72.9;9.1;0.0;0.0;72.9
74.8;73.2;9.0;0.0;0.0;73.2
75.2;73.7;9.0;0.0;0.0;73.7
75.7;74.1;8.9;0.0;0.0;74.1
76.3;74.6;8.9;0.0;0.0;74.6
76.8;75.2;8.9;0.0;0.0;75.2
77.4;75.8;8.9;0.0;0.0;75.8
78.0;76.3;8.8;0.0;0.0;76.3
78.5;76.8;8.8;0.0;0.0;76.8
79.0;77.4;8.8;0.0;0.0;77.4
79.5;77.9;8.8;0.0;0.0;77.9
80.1;78.4;8.8;0.0;0.0;78.4
80.6;78.9;8.8;0.0;0.0;78.9
81.1;79.4;8.8;0.0;0.0;79.4
81.6;79.9;8.9;0.0;0.0;79.9
82.2;80.4;8.9;0.0;0.0;80.4
82.7;80.9;8.9;0.0;0.0;80.9
83.2;81.4;8.9;0.0;0.0;81.4
83.6;81.8;9.0;0.0;0.0;81.8
83.9;82.1;9.0;0.0;0.0;82.1
84.1;82.3;9.0;0.0;0.0;82.3
84.3;82.5;9.1;0.0;0.0;82.5
84.3;82.5;9.1;0.0;0.0;82.5
84.3;82.5;9.2;0.0;0.0;82.5
84.2;82.5;9.2;0.0;0.0;82.5
84.1;82.3;9.2;0.0;0.0;82.3
84.0;82.2;9.3;0.0;0.0;82.2
83.8;82.0;9.4;0.0;0.0;82.0
83.6;81.8;9.4;0.0;0.0;81.8
83.4;81.6;9.4;0.0;0.0;81.6
83.1;81.3;9.5;0.0;0.0;81.3
82.8;81.0;9.6;0.0;0.0;81.0
82.5;80.7;9.6;0.0;0.0;80.7
82.1;80.4;9.7;0.0;0.0;80.4
81.7;80.0;9.7;0.0;0.0;80.0
81.4;79.6;9.8;0.0;0.0;79.6
81.0;79.3;9.8;0.0;0.0;79.3
80.6;78.9;9.8;0.0;0.0;78.9
80.3;78.6;9.9;0.0;0.0;78.6
79.9;78.2;9.9;0.0;0.0;78.2
79.6;77.9;10.0;0.0;0.0;77.9
79.2;77.6;10.0;0.0;0.0;77.6
78.9;77.3;10.0;0.0;0.0;77.3
78.6;77.0;10.0;0.0;0.0;77.0
78.4;76.7;10.1;0.0;0.0;76.7
78.1;76.4;10.1;0.0;0.0;76.4
77.8;76.2;10.1;0.0;0.0;76.2
77.6;75.9;10.1;0.0;0.0;75.9
77.3;75.7;10.1;0.0;0.0;75.7
77.1;75.5;10.1;0.0;0.0;75.5
76.9;75.2;10.1;0.0;0.0;75.2
76.6;75.0;10.1;0.0;0.0;75.0
76.4;74.8;10.0;0.0;0.0;74.8
76.3;74.6;10.0;0.0;0.0;74.6
76.1;74.5;10.0;0.0;0.0;74.5
76.0;74.4;9.9;0.0;0.0;74.4
75.9;74.3;9.9;0.0;0.0;74.3
75.9;74.3;9.8;0.0;0.0;74.3
75.9;74.3;9.7;0.0;0.0;74.3
76.1;74.5;9.7;0.0;0.0;74.5
76.4;74.8;9.6;0.0;0.0;74.8
76.9;75.3;9.5;0.0;0.0;75.3
77.6;75.9;9.4;0.0;0.0;75.9
78.3;76.7;9.3;0.0;0.0;76.7
79.1;77.4;9.3;0.0;0.0;77.4
79.9;78.2;9.2;0.0;0.0;78.2
80.5;78.8;9.1;0.0;0.0;78.8
81.0;79.3;9.0;0.0;0.0;79.3
81.2;79.5;8.9;0.0;0.0;79.5
81.2;79.5;8.9;0.0;0.0;79.5
81.1;79.4;8.8;0.0;0.0;79.4
81.0;79.3;8.7;0.0;0.0;79.3
80.8;79.1;8.7;0.0;0.0;79.1
80.7;79.0;8.6;0.0;0.0;79.0
80.7;79.0;8.6;0.0;0.0;79.0
80.8;79.1;8.5;0.0;0.0;79.1
81.0;79.3;8.4;0.0;0.0;79.3
81.1;79.4;8.4;0.0;0.0;79.4
80.1;78.4;8.4;0.0;0.0;78.4
