gen_0_5;gen_1_0;gen_2_1;gen_5_2;gen_5_3;balance
67.2;69.4;68.0;11.1;17.0;10.6
67.9;69.7;68.5;11.1;16.8;10.4
67.5;69.2;67.1;11.4;16.8;10.3
67.2;67.5;66.4;11.3;17.0;9.8
67.9;68.0;67.9;11.4;16.4;9.3
68.6;67.6;68.0;11.4;15.1;8.7
67.6;69.1;68.1;11.3;13.9;7.9
67.2;70.8;68.3;11.4;12.5;7.3
68.6;70.2;68.9;11.5;11.3;6.9
68.3;69.7;69.3;11.3;10.8;6.6
69.0;70.3;67.9;11.6;10.3;6.3
67.5;70.8;69.6;11.6;10.4;6.2
68.2;70.5;68.6;11.6;10.2;5.9
68.1;71.2;69.4;11.5;9.6;5.6
67.9;70.5;68.0;11.6;9.1;5.3
68.3;70.5;68.4;11.7;8.5;5.1
68.3;70.0;68.5;11.9;7.8;4.7
68.5;69.3;68.3;11.7;7.2;4.6
68.3;69.9;68.3;11.9;6.7;4.3
68.5;69.9;68.6;12.1;5.7;3.8
68.8;69.3;68.5;11.9;4.8;3.2
70.1;71.3;69.4;11.8;3.7;2.5
70.6;72.0;70.9;12.1;2.6;1.7
71.3;72.0;70.3;12.2;1.9;1.1
69.9;72.0;70.6;12.0;1.4;0.8
70.6;71.7;70.4;12.2;1.3;0.7
70.9;72.7;69.5;12.0;1.2;0.7
71.5;72.9;71.1;12.1;1.1;0.6
71.6;72.6;71.3;12.3;0.8;0.5
70.4;71.0;69.8;12.1;0.6;0.3
69.4;70.8;71.2;12.2;0.3;0.2
71.4;72.1;71.7;12.3;0.2;0.1
70.7;72.0;69.8;12.5;0.1;0.0
70.3;72.0;71.1;12.6;0.0;0.0
69.9;73.9;70.0;12.7;0.0;0.0
70.9;72.0;71.0;12.7;0.0;0.0
70.7;72.2;71.0;12.6;0.0;0.0
71.7;72.0;70.7;12.9;0.0;0.0
69.8;73.3;70.6;12.9;0.0;0.0
72.5;71.1;70.9;13.0;0.0;0.0
70.9;72.4;70.6;13.1;0.0;0.0
70.2;71.9;70.6;13.0;0.0;0.0
71.5;72.4;70.7;13.2;0.0;0.0
70.4;73.0;71.6;13.3;0.1;0.0
71.3;73.6;70.7;13.0;0.1;0.0
72.6;74.5;72.1;13.5;0.1;0.0
73.3;73.4;71.5;13.4;0.1;0.0
72.5;74.2;72.9;13.5;0.0;0.0
72.0;73.1;72.8;13.5;0.0;0.0
73.5;75.2;74.4;13.6;0.0;0.0
74.6;76.5;73.3;13.7;0.0;0.0
74.1;77.1;75.7;13.6;0.0;0.0
75.8;75.7;75.6;13.7;0.0;0.0
74.4;77.3;76.5;14.0;0.0;0.0
76.7;78.2;75.3;13.8;0.0;0.0
77.6;79.6;77.2;13.7;0.0;0.0
79.5;80.6;77.5;14.3;0.0;0.0
79.5;80.7;77.3;14.0;0.0;0.0
78.4;80.2;80.2;14.3;0.0;0.0
79.8;81.6;78.0;14.3;0.0;0.0
80.9;82.6;80.1;14.3;0.0;0.0
81.7;83.8;81.1;14.4;0.0;0.0
81.1;82.5;82.8;14.7;0.0;0.0
82.3;84.2;83.2;14.7;0.0;0.0
83.7;85.4;81.3;14.7;0.0;0.0
82.0;85.9;83.2;15.0;0.0;0.0
83.5;85.5;84.0;14.8;0.0;0.0
81.8;86.0;81.2;14.9;0.0;0.0
82.2;84.8;83.6;15.0;0.0;0.0
83.4;86.2;85.0;15.0;0.0;0.0
84.2;84.9;84.2;15.2;0.0;0.0
84.3;86.2;84.6;15.1;0.0;0.0
84.8;84.8;83.6;15.0;0.0;0.0
83.6;85.9;83.5;15.1;0.0;0.0
84.3;86.5;84.1;15.3;0.0;0.0
84.3;83.7;85.0;15.4;0.0;0.0
84.1;84.9;83.4;15.2;0.0;0.0
82.5;84.7;82.2;15.2;0.0;0.0
82.1;85.2;83.0;15.4;0.0;0.0
82.4;84.9;83.4;15.2;0.0;0.0
82.0;82.9;81.8;15.6;0.0;0.0
82.0;83.9;81.8;15.5;0.0;0.0
82.0;83.1;79.7;15.5;0.0;0.0
81.9;83.0;80.6;15.8;0.0;0.0
80.9;82.7;81.3;15.5;0.0;0.0
79.5;81.9;80.2;15.5;0.0;0.0
80.5;82.3;80.5;15.6;0.0;0.0
81.4;81.1;79.4;15.6;0.0;0.0
79.6;82.3;79.7;15.8;0.0;0.0
80.1;81.7;79.5;15.6;0.0;0.0
78.7;82.4;80.1;15.8;0.0;0.0
80.2;78.8;78.8;15.6;0.0;0.0
77.1;80.5;78.5;15.8;0.0;0.0
78.8;80.1;77.4;15.8;0.0;0.0
77.8;79.3;77.9;16.0;0.0;0.0
76.9;79.2;76.2;16.0;0.0;0.0
76.4;77.1;76.5;16.0;0.0;0.0
76.4;77.7;77.4;15.8;0.0;0.0
76.5;76.8;75.9;15.6;0.0;0.0
75.3;77.9;77.0;16.0;0.0;0.0
76.2;77.9;74.4;16.1;0.0;0.0
74.8;76.0;75.8;16.1;0.0;0.0
75.3;77.0;75.2;16.1;0.0;0.0
75.6;75.8;74.2;16.2;0.0;0.0
73.3;76.4;74.3;16.3;0.0;0.0
75.3;75.7;74.3;16.4;0.0;0.0
76.4;76.1;74.7;16.6;0.0;0.0
75.4;75.7;74.1;16.4;0.0;0.0
75.9;77.3;74.0;16.5;0.0;0.0
76.9;79.6;75.6;16.7;0.0;0.0
76.4;78.5;77.7;17.2;0.0;0.0
76.0;79.2;77.8;16.8;0.0;0.0
77.8;80.0;77.7;16.9;0.0;0.0
78.4;80.3;78.2;17.0;0.0;0.0
80.3;80.9;78.7;17.2;0.0;0.0
77.6;79.8;77.8;17.0;0.0;0.0
77.0;79.1;78.0;17.5;0.0;0.0
78.0;79.5;77.4;17.5;0.0;0.0
77.0;79.3;76.4;17.7;0.0;0.0
76.7;77.0;76.8;17.9;0.0;0.0
76.2;77.9;76.9;18.4;0.0;0.0
77.1;77.4;76.5;18.5;0.0;0.0
75.8;77.8;76.4;18.4;0.0;0.0
76.8;77.2;75.8;18.6;0.0;0.0
76.2;77.8;76.3;18.3;0.0;0.0
76.1;77.6;75.8;18.9;0.0;0.0
75.2;78.0;75.8;18.9;0.0;0.0
75.4;76.3;75.2;19.1;0.0;0.0
75.0;76.1;73.7;18.9;0.0;0.0
73.7;76.7;75.1;19.1;0.0;0.0
74.8;76.5;74.5;19.4;0.0;0.0
73.0;74.8;72.6;19.8;0.0;0.0
73.2;74.2;73.1;20.0;0.0;0.0
72.3;73.1;72.4;19.9;0.0;0.0
71.4;72.7;71.3;20.0;0.0;0.0
70.7;70.4;70.1;20.5;0.0;0.0
70.3;70.5;70.9;20.4;0.0;0.0
69.4;71.0;70.1;20.8;0.0;0.0
70.1;70.7;69.2;20.9;0.0;0.0
68.4;70.7;69.4;20.9;0.0;0.0
69.4;71.6;68.3;21.1;0.0;0.0
68.8;70.6;69.2;21.7;0.0;0.0
67.8;70.7;68.9;21.4;0.0;0.0
68.2;69.7;67.9;21.7;0.0;0.0
67.6;69.8;69.7;21.9;0.0;0.0
68.0;68.3;67.0;21.7;0.0;0.0
68.7;69.9;68.7;21.8;0.0;0.0
68.1;69.7;68.3;22.4;0.0;0.0
68.1;68.5;66.7;22.9;0.0;0.0
67.7;67.9;67.2;22.6;0.0;0.0
67.0;68.6;67.0;22.6;0.0;0.0
67.4;69.2;66.4;22.4;0.0;0.0
67.7;68.7;66.4;23.3;0.0;0.0
66.5;69.2;66.2;22.9;0.0;0.0
66.8;68.0;66.9;23.5;0.0;0.0
66.1;67.2;67.4;23.3;0.0;0.0
66.5;67.1;65.9;23.4;0.0;0.0
65.6;66.3;64.4;23.9;0.0;0.0
65.0;66.0;64.8;23.8;0.0;0.0
64.0;66.1;64.8;23.7;0.0;0.0
64.1;65.3;65.1;23.5;0.0;0.0
64.8;65.8;62.1;23.9;0.0;0.0
65.2;64.5;63.5;24.0;0.0;0.0
63.5;65.0;63.3;23.9;0.0;0.0
63.7;64.5;62.7;24.3;0.0;0.0
63.0;64.2;62.7;24.3;0.0;0.0
62.7;63.5;62.5;24.2;0.0;0.0
63.3;64.0;62.5;24.2;0.0;0.0
62.7;63.6;62.5;24.1;0.0;0.0
61.5;63.4;62.0;24.0;0.0;0.0
61.8;63.0;61.3;23.8;0.0;0.0
62.0;63.3;60.9;24.6;0.0;0.0
61.4;63.1;61.4;24.4;0.0;0.0
61.8;61.8;61.2;23.8;0.0;0.0
61.0;62.8;61.0;24.2;0.0;0.0
60.4;61.7;61.8;23.9;0.0;0.0
61.8;63.3;61.5;23.8;0.0;0.0
61.6;62.1;61.4;23.9;0.0;0.0
61.5;62.2;61.6;23.7;0.0;0.0
61.8;63.3;61.8;23.5;0.0;0.0
62.0;63.1;62.0;23.6;0.0;0.0
61.6;62.7;61.5;23.4;0.0;0.0
60.8;62.8;61.1;23.2;0.0;0.0
62.1;62.4;61.6;22.9;0.0;0.0
62.0;64.5;61.2;22.8;0.0;0.0
64.1;63.8;62.1;23.4;0.0;0.0
63.0;63.6;62.7;23.4;0.0;0.0
64.6;64.0;63.3;22.8;0.0;0.0
64.9;64.5;64.2;22.9;0.0;0.0
64.3;66.2;63.6;22.4;0.0;0.0
63.2;65.2;65.1;22.6;0.0;0.0
64.7;67.2;65.6;22.9;0.0;0.0
65.3;67.1;65.4;22.9;0.0;0.0
66.5;68.9;65.5;22.9;0.0;0.0
65.6;67.1;66.5;23.0;0.0;0.0
66.6;67.2;66.8;22.9;0.0;0.0
66.4;67.8;66.9;23.4;0.0;0.0
67.8;69.6;68.4;23.3;0.0;0.0
68.3;70.1;68.1;22.9;0.0;0.0
69.9;70.7;69.3;23.3;0.0;0.0
68.7;71.3;69.7;23.7;0.0;0.0
69.1;71.6;69.5;23.7;0.0;0.0
71.0;71.8;71.2;23.8;0.0;0.0
71.2;73.8;72.4;24.4;0.0;0.0
74.2;73.8;72.9;24.6;0.0;0.0
74.6;73.6;75.3;24.9;0.0;0.0
74.8;75.4;74.3;24.8;0.0;0.0
75.0;76.8;74.7;25.3;0.0;0.0
74.7;77.8;75.3;25.3;0.0;0.0
75.1;75.9;75.2;26.2;0.1;0.1
76.5;77.1;75.9;25.4;0.2;0.1
77.2;78.1;76.0;26.1;0.4;0.2
76.8;77.9;76.0;26.5;0.5;0.2
78.6;77.9;78.4;26.4;0.7;0.4
77.8;78.9;78.0;26.6;1.0;0.5
79.4;80.8;77.6;27.2;1.3;0.7
78.5;80.5;78.3;26.9;1.5;1.0
78.3;82.3;79.5;27.4;1.8;1.1
80.1;79.6;78.0;27.3;2.0;1.3
80.3;80.7;79.1;27.4;2.2;1.4
78.2;81.1;79.4;27.5;2.5;1.6
79.8;81.3;79.2;28.0;2.9;1.9
79.6;80.2;78.7;27.6;3.6;2.3
79.9;80.8;79.5;27.9;4.4;2.9
80.0;81.0;78.2;27.7;5.4;3.4
79.0;80.3;77.7;27.7;6.2;3.8
77.5;79.6;78.1;27.8;7.2;4.1
77.6;78.8;77.3;27.8;7.7;4.3
78.5;81.4;77.7;27.6;8.2;4.5
77.8;79.5;79.0;27.2;8.8;4.5
78.0;79.6;77.9;27.2;9.6;4.7
78.4;78.7;78.8;27.7;10.0;4.8
78.0;79.1;77.2;27.1;10.7;5.1
77.3;79.1;76.3;27.0;11.8;5.5
75.7;77.3;77.5;26.7;12.8;5.9
77.7;78.4;76.3;26.7;13.6;6.4
76.1;75.7;76.9;26.6;14.9;7.3
75.8;78.2;76.4;25.7;15.6;8.2
74.6;76.6;75.1;26.4;16.3;9.0
74.9;76.3;77.1;25.8;17.0;9.6
73.6;76.5;74.7;25.9;17.9;10.2
75.4;76.8;74.8;25.4;17.9;10.4
74.8;76.5;74.8;25.7;18.2;10.4
75.4;77.6;75.1;25.7;17.6;9.9
77.0;76.2;75.6;25.8;17.3;9.8
77.0;76.4;77.5;25.1;15.7;9.4
75.6;78.9;76.0;25.6;14.3;9.4
76.5;78.5;78.7;25.3;13.4;9.4
77.3;79.2;76.8;25.4;12.7;9.8
77.3;78.6;76.2;25.3;14.2;10.4
78.0;77.7;75.0;25.9;16.4;10.7
73.4;74.6;72.6;25.2;18.5;11.5
73.3;76.0;74.1;25.6;19.7;12.2
73.9;76.3;75.5;25.2;19.8;12.1
75.8;76.8;75.0;25.3;18.8;12.2
74.5;76.3;74.6;25.1;17.7;12.3
76.2;78.4;74.2;25.0;17.0;12.2
74.5;76.6;76.2;25.8;18.7;12.2
73.2;76.6;73.8;25.2;20.7;12.3
74.1;74.1;73.5;25.4;23.2;12.3
73.4;74.5;73.1;25.9;24.8;12.3
72.7;74.0;72.4;25.4;24.8;12.5
72.8;75.4;74.3;25.9;24.2;12.3
73.1;76.1;74.9;25.6;22.8;12.4
74.3;76.1;75.2;26.2;21.1;12.0
75.1;75.5;75.8;25.7;20.6;12.1
75.4;77.9;73.8;25.8;20.3;11.7
75.1;75.5;75.9;26.2;20.0;11.2
75.5;77.5;75.4;25.9;20.2;11.0
75.4;77.8;74.9;26.2;20.0;10.6
75.4;76.5;75.8;26.5;20.7;10.3
76.1;78.2;75.7;26.5;19.9;9.9
76.2;76.3;76.9;26.6;19.0;9.5
76.1;79.0;77.8;26.5;17.7;8.7
77.4;79.5;76.9;26.4;15.5;8.1
79.7;80.4;78.7;26.3;13.7;7.8
77.6;78.9;78.8;26.6;13.4;8.0
78.2;79.2;77.7;26.4;13.9;8.9
76.8;79.5;77.2;26.8;15.4;9.9
76.9;77.8;75.7;26.9;17.2;11.0
75.3;76.9;73.8;27.2;17.9;11.8
75.7;76.8;75.9;27.7;18.2;12.0
76.4;76.6;75.6;27.4;17.6;11.9
76.1;77.7;75.3;27.4;17.1;11.5
75.9;76.6;75.9;27.7;17.2;11.4
75.4;76.7;74.9;27.1;18.1;11.7
73.7;76.2;74.7;27.9;19.2;11.5
74.5;74.2;73.4;27.6;19.6;11.2
74.2;75.1;73.9;27.6;19.5;10.9
75.0;76.1;75.2;27.8;17.2;9.8
76.2;77.7;76.9;27.5;14.4;8.7
77.2;78.7;77.4;27.7;12.0;7.5
76.9;79.7;78.3;28.7;10.7;7.2
76.8;80.0;77.8;28.1;11.2;7.3
77.1;78.2;75.4;28.6;12.4;7.9
76.1;75.8;76.2;28.5;13.5;8.6
75.8;77.3;75.1;28.7;14.2;8.7
75.4;78.3;75.6;28.8;13.7;8.3
76.9;77.9;75.9;28.4;12.7;7.7
77.4;78.9;77.0;28.9;11.1;6.7
77.6;78.7;78.1;28.4;9.7;5.8
78.0;78.6;78.1;28.9;8.6;5.1
76.8;78.7;79.3;28.9;7.9;4.7
78.8;79.6;77.2;28.7;7.3;4.0
78.2;79.6;77.7;29.4;7.0;3.7
76.8;79.7;77.2;29.4;6.6;3.5
77.8;77.7;77.2;29.6;6.2;3.1
78.5;79.6;77.8;30.2;5.6;2.7
76.3;79.3;78.6;29.5;4.8;2.4
79.7;81.8;78.1;30.2;3.8;2.0
80.0;78.8;78.5;30.1;3.0;1.6
77.8;80.6;79.3;29.2;2.2;1.3
78.3;80.0;80.0;30.0;1.7;1.1
79.3;79.2;78.4;30.1;1.5;0.9
79.7;80.6;77.6;30.1;1.2;0.8
79.3;79.7;76.8;29.8;1.0;0.6
79.3;80.9;79.7;30.0;0.8;0.5
80.2;79.2;79.5;30.3;0.6;0.3
78.1;80.5;79.4;30.7;0.4;0.2
78.2;80.1;78.9;30.6;0.2;0.1
79.1;79.1;79.1;30.3;0.1;0.0
79.0;80.8;79.4;31.1;0.0;0.0
77.6;81.4;78.1;30.3;0.0;0.0
77.8;80.5;77.5;30.0;0.0;0.0
79.5;80.4;78.9;30.5;0.0;0.0
78.6;80.2;78.3;30.4;0.0;0.0
79.2;81.5;77.2;30.2;0.0;0.0
78.3;80.9;78.4;30.5;0.0;0.0
78.2;80.7;77.2;30.8;0.0;0.0
78.7;80.1;77.5;30.0;0.1;0.0
78.9;80.4;78.0;30.2;0.1;0.0
78.7;81.2;78.4;30.4;0.1;0.0
78.9;80.1;79.1;30.0;0.1;0.0
80.2;79.6;78.7;30.1;0.1;0.0
79.3;81.5;78.6;30.2;0.1;0.0
80.0;82.5;78.9;30.0;0.1;0.0
79.1;81.5;81.5;30.1;0.0;0.0
81.1;82.3;81.3;30.2;0.0;0.0
82.0;82.3;79.9;29.6;0.0;0.0
81.5;83.4;82.4;29.8;0.0;0.0
83.0;82.5;81.6;29.5;0.0;0.0
83.2;84.5;82.5;29.2;0.0;0.0
82.1;84.9;83.3;29.4;0.0;0.0
83.0;86.5;84.6;28.6;0.0;0.0
84.4;85.3;83.6;28.6;0.0;0.0
84.9;87.0;84.2;28.3;0.0;0.0
85.1;87.5;84.9;28.4;0.0;0.0
86.4;87.5;85.7;28.6;0.0;0.0
86.9;87.3;87.4;28.2;0.0;0.0
86.9;87.7;87.5;27.7;0.0;0.0
88.2;90.1;87.5;27.4;0.0;0.0
88.7;89.3;87.8;27.2;0.0;0.0
89.4;92.5;89.2;27.7;0.0;0.0
89.4;91.5;89.5;27.1;0.0;0.0
91.5;91.2;90.2;26.8;0.0;0.0
90.3;92.3;88.8;26.4;0.0;0.0
88.9;90.2;88.7;26.8;0.0;0.0
89.6;89.7;88.8;26.7;0.0;0.0
88.6;91.1;89.1;26.7;0.0;0.0
88.5;91.2;87.2;26.6;0.0;0.0
88.0;90.6;89.3;26.5;0.0;0.0
88.3;90.1;89.0;26.1;0.0;0.0
88.6;88.9;87.7;26.0;0.0;0.0
86.9;88.5;87.3;26.2;0.0;0.0
86.5;88.4;87.4;26.1;0.0;0.0
85.9;87.2;86.0;26.6;0.0;0.0
84.3;87.1;85.9;26.3;0.0;0.0
86.3;87.2;84.2;26.5;0.0;0.0
84.7;85.4;83.8;26.4;0.0;0.0
84.6;85.7;82.3;26.9;0.0;0.0
83.0;84.1;84.4;27.0;0.0;0.0
84.2;81.9;83.4;26.8;0.0;0.0
81.3;85.2;81.6;27.3;0.0;0.0
80.7;83.3;81.2;27.9;0.0;0.0
81.4;83.6;80.6;28.0;0.0;0.0
79.3;82.1;79.4;28.0;0.0;0.0
79.5;80.6;79.6;28.0;0.0;0.0
80.4;81.0;78.9;28.2;0.0;0.0
77.9;80.3;79.7;28.0;0.0;0.0
78.1;79.4;78.4;28.6;0.0;0.0
77.8;79.3;78.3;29.4;0.0;0.0
76.4;79.5;77.2;29.1;0.0;0.0
77.0;78.8;77.7;29.8;0.0;0.0
76.7;77.0;77.1;29.4;0.0;0.0
76.1;77.2;75.5;30.4;0.0;0.0
76.2;77.2;74.8;29.7;0.0;0.0
73.3;76.7;75.3;30.0;0.0;0.0
74.6;77.0;74.9;30.1;0.0;0.0
74.0;75.2;74.3;29.8;0.0;0.0
74.8;73.7;73.3;29.9;0.0;0.0
73.3;74.9;72.8;29.9;0.0;0.0
72.4;75.5;72.4;30.3;0.0;0.0
72.6;74.7;73.9;30.2;0.0;0.0
73.1;73.8;71.9;29.4;0.0;0.0
73.6;75.5;73.2;29.6;0.0;0.0
73.1;77.5;73.8;29.5;0.0;0.0
73.7;76.1;73.8;29.3;0.0;0.0
74.9;76.2;75.1;29.0;0.0;0.0
76.5;77.7;76.0;28.7;0.0;0.0
76.1;78.1;78.1;28.6;0.0;0.0
76.3;77.2;77.6;28.4;0.0;0.0
76.6;79.4;77.9;28.4;0.0;0.0
77.6;78.0;79.7;28.2;0.0;0.0
77.9;79.3;78.0;28.1;0.0;0.0
78.4;79.0;76.6;27.9;0.0;0.0
77.3;79.1;76.3;27.5;0.0;0.0
76.3;79.2;75.5;27.2;0.0;0.0
75.0;77.3;77.1;27.3;0.0;0.0
75.9;79.2;78.0;27.1;0.0;0.0
77.4;77.7;76.8;26.9;0.0;0.0
75.8;78.7;77.1;26.7;0.0;0.0
76.9;77.8;76.9;26.9;0.0;0.0
